rating_id,store_id,rating,review_text,reviewer_name,review_date
1,1,5,Great selection and friendly staff!,Customer_729,2026-02-05
2,1,4,Great selection and friendly staff!,Customer_175,2026-02-23
3,1,4,Great selection and friendly staff!,Customer_994,2026-02-22
4,1,3,Excellent service and fresh items,Customer_698,2026-02-13
5,1,5,Wide variety of products,Customer_594,2026-02-16
6,1,2,Great selection and friendly staff!,Customer_346,2026-02-08
7,1,5,Excellent service and fresh items,Customer_745,2026-02-12
8,1,4,Great selection and friendly staff!,Customer_513,2026-02-17
9,1,4,Good prices but could improve cleanliness,Customer_598,2026-02-14
10,1,2,Wide variety of products,Customer_214,2026-02-04
11,2,4,Wide variety of products,Customer_110,2026-02-14
12,2,3,"Fast checkout, highly recommended",Customer_217,2026-02-15
13,2,5,"Fast checkout, highly recommended",Customer_608,2026-02-09
14,2,4,Great selection and friendly staff!,Customer_118,2026-02-03
15,2,4,Good prices but could improve cleanliness,Customer_548,2026-03-01
16,2,4,"Fast checkout, highly recommended",Customer_240,2026-02-22
17,2,4,Excellent service and fresh items,Customer_338,2026-02-13
18,2,4,Excellent service and fresh items,Customer_931,2026-03-01
19,2,3,Good prices but could improve cleanliness,Customer_116,2026-02-07
20,3,4,Great selection and friendly staff!,Customer_550,2026-02-07
21,3,5,Excellent service and fresh items,Customer_292,2026-02-17
22,3,4,"Fast checkout, highly recommended",Customer_636,2026-02-27
23,3,4,Excellent service and fresh items,Customer_728,2026-02-11
24,3,4,Wide variety of products,Customer_243,2026-02-25
25,3,5,Great selection and friendly staff!,Customer_731,2026-02-24
26,3,5,Great selection and friendly staff!,Customer_697,2026-02-16
27,3,3,Wide variety of products,Customer_729,2026-02-09
28,3,4,Excellent service and fresh items,Customer_438,2026-02-19
29,3,5,Excellent service and fresh items,Customer_882,2026-02-03
30,3,1,Great selection and friendly staff!,Customer_331,2026-02-18
31,3,5,Good prices but could improve cleanliness,Customer_835,2026-02-08
32,4,4,Great selection and friendly staff!,Customer_971,2026-02-04
33,4,5,Wide variety of products,Customer_924,2026-02-17
34,4,2,Good prices but could improve cleanliness,Customer_432,2026-02-13
35,4,5,Wide variety of products,Customer_320,2026-02-27
36,4,1,"Fast checkout, highly recommended",Customer_950,2026-02-03
37,4,4,"Fast checkout, highly recommended",Customer_673,2026-02-04
38,4,4,Wide variety of products,Customer_942,2026-02-26
39,4,3,"Fast checkout, highly recommended",Customer_513,2026-02-11
40,4,5,Great selection and friendly staff!,Customer_447,2026-02-28
41,4,2,Great selection and friendly staff!,Customer_235,2026-02-09
42,4,4,Excellent service and fresh items,Customer_467,2026-02-13
43,4,4,Good prices but could improve cleanliness,Customer_599,2026-02-17
44,4,1,"Fast checkout, highly recommended",Customer_803,2026-02-12
45,5,4,Wide variety of products,Customer_364,2026-02-28
46,5,4,Good prices but could improve cleanliness,Customer_500,2026-02-16
47,5,5,"Fast checkout, highly recommended",Customer_888,2026-02-26
48,5,5,Excellent service and fresh items,Customer_856,2026-02-22
49,5,5,Wide variety of products,Customer_781,2026-03-01
50,5,5,"Fast checkout, highly recommended",Customer_924,2026-02-08
51,5,4,Good prices but could improve cleanliness,Customer_705,2026-03-02
52,5,5,Wide variety of products,Customer_494,2026-02-15
53,5,4,Good prices but could improve cleanliness,Customer_613,2026-02-18
54,5,4,Good prices but could improve cleanliness,Customer_890,2026-02-18
55,5,5,Great selection and friendly staff!,Customer_483,2026-03-02
56,5,4,"Fast checkout, highly recommended",Customer_777,2026-02-03
57,5,4,jee wjew wjehwjwejwehw wejwv,Raja,2026-03-04
